,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
345,Areosa,PT,41.72,-8.86,61.0,100,20,9.17,few clouds
346,Richards Bay,ZA,-28.78,32.04,65.43,77,11,4.56,few clouds
347,Yaya,RU,56.21,86.44,42.78,64,100,11.41,overcast clouds
348,Itapirapua,BR,-15.82,-50.61,92.62,35,87,6.13,overcast clouds
349,Greece,US,43.21,-77.69,64.99,93,90,11.41,mist
350,Hay River,CA,60.82,-115.8,26.6,68,75,18.34,broken clouds
351,Belaya Gora,RU,68.53,146.42,5.4,94,100,1.81,overcast clouds
352,Amboasary,MG,-25.03,46.38,75.2,88,20,24.16,few clouds
353,Ilulissat,GL,69.22,-51.1,32.0,93,75,6.93,broken clouds
354,Balibago,PH,15.16,120.6,75.2,100,90,13.87,overcast clouds
355,Kavaratti,IN,10.57,72.64,81.05,78,100,14.92,overcast clouds
356,Litovko,RU,49.24,135.17,46.13,97,100,4.45,moderate rain
357,Quatre Cocos,MU,-20.21,57.76,75.99,78,40,13.87,scattered clouds
358,Uchiza,PE,-8.46,-76.46,79.65,66,19,3.98,light rain
359,Ballina,AU,-28.87,153.57,60.01,93,15,4.09,moderate rain
360,Weihe,CN,33.0,105.32,46.4,84,0,3.02,clear sky
361,Santo Antonio Do Ica,BR,-3.1,-67.94,91.6,52,93,3.44,overcast clouds
362,Ellensburg,US,47.0,-120.55,48.2,57,1,25.28,clear sky
363,Acari,PE,-15.43,-74.62,77.27,36,0,11.1,clear sky
364,Canakkale,TR,40.08,26.83,66.2,68,40,17.22,scattered clouds
365,Severodvinsk,RU,64.56,39.83,26.6,100,40,4.47,fog
366,Kiruna,SE,67.86,20.23,21.2,92,100,3.36,mist
367,Lake Cowichan,CA,48.83,-124.05,50.0,66,75,11.41,broken clouds
368,Clyde River,CA,70.47,-68.59,23.0,67,1,5.82,clear sky
369,Alofi,NU,-19.06,-169.92,73.4,100,100,13.87,overcast clouds
370,Ulaangom,MN,49.98,92.07,26.94,93,12,2.77,few clouds
371,Port-Gentil,GA,-0.72,8.78,80.6,88,75,11.41,broken clouds
372,Tarbagatay,RU,51.48,107.36,30.2,86,40,2.24,scattered clouds
373,Salta,AR,-24.79,-65.41,77.0,53,75,10.29,light rain
374,Scottsbluff,US,41.87,-103.67,66.99,34,1,11.41,clear sky
375,San Patricio,US,28.02,-97.52,88.0,66,20,10.29,few clouds
376,Alta Floresta,BR,-9.88,-56.09,93.04,37,76,2.84,broken clouds
377,Ponta Do Sol,PT,32.67,-17.1,66.2,63,40,14.99,scattered clouds
378,Karratha,AU,-20.74,116.85,66.78,66,45,13.02,scattered clouds
379,Mayor Pablo Lagerenza,PY,-19.93,-60.77,90.45,48,72,1.48,broken clouds
380,Kota,IN,25.18,75.83,80.44,29,45,4.74,scattered clouds
381,Saint-Francois,FR,46.42,3.91,68.0,52,100,18.34,overcast clouds
382,Farmington,US,36.73,-108.22,71.01,15,1,6.93,clear sky
383,Esfahan,IR,32.66,51.68,57.2,11,0,2.24,clear sky
384,Sagar,IN,23.83,78.72,71.91,29,39,2.26,scattered clouds
385,Andrelandia,BR,-21.74,-44.31,72.45,77,19,9.8,moderate rain
386,Huarmey,PE,-10.07,-78.15,70.66,65,7,10.56,clear sky
387,Arlit,NE,18.74,7.39,93.81,10,0,10.71,clear sky
388,Sur,OM,22.57,59.53,74.88,64,97,2.51,overcast clouds
389,Sabya,SA,17.15,42.63,87.8,58,0,6.93,clear sky
390,Iquique,CL,-20.22,-70.14,68.0,60,20,13.87,few clouds
391,Kongoussi,BF,13.33,-1.53,92.66,22,79,2.71,broken clouds
392,Vestmanna,FO,62.16,-7.17,37.4,86,79,6.93,light rain
393,Gamba,GA,-2.65,10.0,77.05,87,100,7.76,light rain
394,Mukdahan,TH,16.58,104.5,64.51,78,100,5.61,overcast clouds
395,Nautla,MX,20.22,-96.78,83.77,63,47,11.95,scattered clouds
396,Nelson Bay,AU,-32.72,152.15,59.0,93,100,7.43,overcast clouds
397,Pali,IN,25.77,73.33,82.69,36,0,6.82,clear sky
398,Pangai,TO,-19.8,-174.35,75.2,78,75,13.87,broken clouds
399,Zatoka,UA,46.07,30.47,57.2,71,59,13.42,broken clouds
400,Tautira,PF,-17.73,-149.15,82.4,65,75,2.24,broken clouds
401,Bud,US,39.45,-86.18,59.0,93,90,4.7,overcast clouds
402,Kahului,US,20.89,-156.47,77.0,65,20,3.36,few clouds
403,San Carlos De Bariloche,AR,-41.15,-71.31,68.0,32,75,6.93,broken clouds
404,Hambantota,LK,6.12,81.12,79.92,81,1,16.8,clear sky
405,Nerchinskiy Zavod,RU,51.31,119.61,21.34,87,0,5.46,clear sky
406,Makakilo City,US,21.35,-158.09,78.8,83,90,1.9,overcast clouds
407,Itarema,BR,-2.92,-39.92,86.2,59,46,18.07,scattered clouds
408,Zhangjiakou,CN,40.81,114.88,35.71,66,0,6.89,clear sky
409,Tsabong,BW,-26.02,22.4,86.23,16,1,16.15,clear sky
410,Gijon,ES,43.54,-5.66,61.0,87,33,1.99,scattered clouds
411,Alice Springs,AU,-23.7,133.88,80.6,34,0,10.29,clear sky
412,Shingu,JP,33.73,135.98,63.32,88,99,11.41,overcast clouds
413,Dhidhdhoo,MV,6.88,73.1,81.84,79,41,10.11,scattered clouds
414,Robe,AU,-37.18,139.75,49.21,82,83,12.5,broken clouds
415,Baykit,RU,61.67,96.37,35.22,88,100,5.93,overcast clouds
416,Merrill,US,45.18,-89.68,36.0,80,90,16.11,overcast clouds
417,Oktyabrskiy,RU,54.48,53.47,30.45,92,17,10.04,few clouds
418,Pak Chong,TH,14.71,101.42,69.8,89,100,6.49,overcast clouds
419,Belluno,IT,46.15,12.22,55.99,88,68,0.72,broken clouds
420,Sabang,ID,5.89,95.32,82.6,77,100,12.64,overcast clouds
421,Vila Franca Do Campo,PT,37.72,-25.43,60.8,77,75,11.41,shower rain
422,Agadez,NE,19.75,10.25,84.52,13,0,10.63,clear sky
423,Gornopravdinsk,RU,60.05,69.9,31.46,99,100,3.49,overcast clouds
424,Maldonado,UY,-34.67,-54.92,64.4,52,75,18.34,broken clouds
425,Cidreira,BR,-30.18,-50.21,67.24,88,100,14.99,overcast clouds
426,Esmeraldas,BR,-19.76,-44.31,73.4,73,75,5.82,broken clouds
427,Faratsiho,MG,-19.4,46.95,60.15,80,61,4.83,broken clouds
428,Wasco,US,35.59,-119.34,80.01,33,1,3.13,clear sky
429,Tateyama,JP,34.98,139.87,60.01,72,100,3.0,moderate rain
430,Naryan-Mar,RU,67.67,53.09,25.14,98,62,7.16,broken clouds
431,Svetlyy,RU,54.67,20.13,53.6,93,90,8.95,light rain
432,San Quintin,MX,30.48,-115.95,71.38,68,8,10.36,clear sky
433,Lagoa,PT,39.05,-27.98,63.32,68,0,20.47,clear sky
434,Mwanza,TZ,-2.52,32.9,71.6,83,40,8.23,scattered clouds
435,Smithers,CA,54.78,-127.17,32.0,75,90,3.36,light snow
436,Solnechnyy,RU,50.72,136.63,39.51,90,100,5.91,overcast clouds
437,Bathsheba,BB,13.22,-59.52,87.8,70,20,11.41,few clouds
438,Xuddur,SO,4.12,43.89,80.2,65,50,4.09,scattered clouds
439,Fomboni,KM,-12.28,43.74,80.2,73,0,7.67,clear sky
440,Sarakhs,IR,36.54,61.16,60.8,51,0,4.7,clear sky
441,Katherine,AU,-14.47,132.27,78.8,78,86,4.7,overcast clouds
442,Homer,US,59.64,-151.55,37.0,74,1,10.87,clear sky
443,Moron,AR,-34.65,-58.62,64.99,71,20,8.99,light rain
444,Shimanovsk,RU,52.0,127.7,28.36,94,99,13.18,overcast clouds
445,Sabha,LY,27.04,14.43,77.83,35,91,8.05,overcast clouds
446,Bay Roberts,CA,47.6,-53.26,57.99,71,75,10.29,broken clouds
447,Senneterre,CA,48.38,-77.23,35.6,100,90,4.7,mist
448,Ucluelet,CA,48.93,-125.55,51.8,62,20,10.29,few clouds
449,Assiniboia,CA,49.63,-105.98,25.21,92,39,6.93,scattered clouds
450,Hofn,IS,64.25,-15.21,28.4,92,75,4.7,broken clouds
451,Muros,ES,42.78,-9.06,59.0,88,2,5.99,clear sky
452,Gobabis,NA,-22.45,18.97,80.51,15,99,11.25,overcast clouds
453,Havelock,US,34.88,-76.9,82.4,58,75,11.41,broken clouds
454,Hauknes,NO,66.28,14.07,35.6,55,75,13.87,broken clouds
455,Puerto Ayacucho,VE,5.66,-67.62,87.94,66,81,1.9,light rain
456,Sabak,MY,3.77,100.99,80.6,88,40,2.24,light rain
457,Belmonte,BR,-15.86,-38.88,82.4,58,20,16.11,few clouds
458,Naron,ES,43.52,-8.15,59.0,82,93,4.7,overcast clouds
459,Hualmay,PE,-11.1,-77.61,69.85,66,17,10.58,few clouds
460,Portland,US,45.52,-122.68,55.0,71,75,6.93,broken clouds
461,Monrovia,LR,6.3,-10.8,84.2,74,75,8.05,thunderstorm
462,Nantucket,US,41.28,-70.1,68.0,88,1,6.93,clear sky
463,Copiapo,CL,-27.37,-70.33,62.6,63,75,8.05,broken clouds
464,Batsfjord,NO,70.63,29.72,30.2,92,75,17.22,fog
465,Taoudenni,ML,22.68,-3.98,86.52,13,61,8.84,broken clouds
466,Marana,US,32.44,-111.23,91.99,10,4,5.01,clear sky
467,Palana,RU,59.12,159.97,33.15,94,100,7.36,overcast clouds
468,Talara,PE,-4.58,-81.27,78.8,69,21,14.99,few clouds
469,Henties Bay,NA,-22.12,14.28,60.01,89,80,1.99,broken clouds
470,Jalna,IN,19.83,75.88,75.33,86,33,3.0,scattered clouds
471,Camopi,GF,3.17,-52.32,95.9,34,84,6.06,light rain
472,Aklavik,CA,68.22,-135.01,14.0,92,75,2.24,broken clouds
473,Kakamega,KE,0.28,34.75,71.6,78,75,5.82,broken clouds
474,Tarnos,FR,43.54,-1.46,71.01,56,100,6.93,overcast clouds
475,Haapiti,PF,-17.57,-149.87,82.4,65,75,2.24,broken clouds
476,Tahta,EG,26.77,31.5,89.6,22,0,6.93,clear sky
477,Arman,RU,59.7,150.17,28.53,83,0,6.2,clear sky
478,Nouadhibou,MR,20.93,-17.03,75.2,78,0,18.34,clear sky
479,Levice,SK,48.22,18.61,54.0,84,98,10.96,overcast clouds
480,Hobyo,SO,5.35,48.53,80.04,83,0,18.68,clear sky
481,Honningsvag,NO,70.98,25.97,33.8,80,75,10.29,broken clouds
482,Haines Junction,CA,60.75,-137.51,21.99,85,54,2.68,broken clouds
483,Meulaboh,ID,4.14,96.13,77.7,85,100,4.32,overcast clouds
484,Saint-Pierre,RE,-21.34,55.48,75.2,69,19,19.46,few clouds
485,Belfast,GB,54.58,-5.93,48.99,87,74,13.87,broken clouds
486,Aquiraz,BR,-3.9,-38.39,86.0,66,20,12.75,few clouds
487,College,US,64.86,-147.8,23.0,92,90,1.12,overcast clouds
488,Dubti,ET,11.74,41.09,91.67,16,4,4.9,clear sky
489,Bardiyah,LY,31.76,25.09,68.45,63,0,8.95,clear sky
490,Perth,AU,-31.93,115.83,57.99,71,0,10.29,clear sky
491,Natal,BR,-5.79,-35.21,77.0,94,75,13.87,shower rain
492,Padang,ID,-0.95,100.35,76.77,82,100,2.44,moderate rain
493,Surt,LY,31.21,16.59,71.19,61,3,10.94,clear sky
494,Khani,GE,41.96,42.96,51.8,100,0,4.7,clear sky
495,Ulaanbaatar,MN,47.91,106.88,10.4,85,0,4.47,clear sky
496,Oromocto,CA,45.84,-66.48,48.2,87,90,6.93,overcast clouds
497,Holt,US,42.64,-84.52,55.0,66,75,8.05,broken clouds
498,Drezdenko,PL,52.84,15.83,51.01,84,100,8.84,overcast clouds
499,Mitsamiouli,KM,-11.38,43.28,80.46,78,0,3.02,clear sky
500,Durban,ZA,-29.86,31.03,69.01,72,75,4.7,broken clouds
501,Sao Miguel Do Tapuio,BR,-5.5,-41.32,100.94,16,36,7.63,scattered clouds
502,Timmins,CA,48.47,-81.33,33.8,100,90,1.01,light snow
503,Oranjestad,AW,12.52,-70.03,89.6,70,40,16.11,scattered clouds
504,Perafita,PT,41.18,-8.25,60.01,90,0,1.99,clear sky
505,Dandong,CN,40.13,124.39,44.04,69,0,8.32,clear sky
506,Nha Trang,VN,12.25,109.18,82.4,69,75,10.29,broken clouds
507,Buala,SB,-8.14,159.59,80.71,75,92,5.79,light rain
508,Novyy Urengoy,RU,66.08,76.63,21.33,98,84,8.66,broken clouds
509,Baruun-Urt,MN,46.68,113.28,20.95,80,0,6.04,clear sky
510,Uribia,CO,11.71,-72.27,89.65,55,22,5.88,few clouds
511,Sao Geraldo Do Araguaia,BR,-6.4,-48.55,97.75,31,97,5.35,overcast clouds
512,Miraflores,MX,19.22,-98.81,71.6,32,40,8.05,scattered clouds
513,Grand Gaube,MU,-20.01,57.66,75.99,71,34,8.01,light rain
514,Sipe Sipe,BO,-17.45,-66.38,80.6,22,40,6.93,scattered clouds
515,Dombarovskiy,RU,50.76,59.54,37.56,75,5,10.96,clear sky
516,Fuzhou,CN,26.06,119.31,66.2,93,75,13.42,light rain
517,Yazman,PK,29.12,71.74,76.32,17,0,7.38,clear sky
518,Iwanai,JP,42.97,140.51,52.81,85,100,6.49,light rain
519,Bahia Honda,CU,22.9,-83.16,84.72,69,45,10.27,scattered clouds
520,Marsaxlokk,MT,35.84,14.54,68.0,68,0,5.82,clear sky
521,Isla Mujeres,MX,21.23,-86.73,86.0,70,40,5.82,scattered clouds
522,Alpena,US,45.06,-83.43,51.8,62,75,11.41,broken clouds
523,Stykkisholmur,IS,65.08,-22.73,37.96,85,100,12.77,overcast clouds
524,Novikovo,RU,51.15,37.89,44.04,85,100,6.38,moderate rain
525,Murayama,JP,38.52,140.33,52.5,79,100,1.79,light rain
526,Abeche,TD,13.83,20.83,86.14,14,23,8.95,few clouds
527,Kamyshevatskaya,RU,46.41,37.96,53.98,50,100,4.61,overcast clouds
528,Maniitsoq,GL,65.42,-52.9,32.11,96,98,12.82,overcast clouds
529,Vaitape,PF,-16.52,-151.75,79.25,79,29,12.75,light rain
530,Halifax,CA,44.65,-63.57,55.99,100,90,9.17,light intensity drizzle
531,Pundaguitan,PH,6.37,126.17,82.98,80,100,10.85,overcast clouds
532,Salalah,OM,17.02,54.09,82.4,83,40,2.24,scattered clouds
533,Wexford,IE,52.33,-6.46,51.01,87,40,9.17,scattered clouds
534,Sembabule,UG,-0.08,31.46,63.59,88,100,2.62,overcast clouds
535,Sinegorye,RU,62.08,150.48,15.33,83,75,4.54,broken clouds
536,Xichang,CN,27.9,102.26,48.61,77,91,0.36,overcast clouds
537,Hays,US,30.05,-98.03,87.01,59,84,11.3,broken clouds
538,Teshie,GH,5.58,-0.11,80.6,83,20,11.41,few clouds
539,Coahuayana,MX,18.73,-103.68,82.4,74,20,5.59,few clouds
540,Egvekinot,RU,66.32,-179.17,32.23,100,73,9.06,broken clouds
541,Bertoua,CM,4.58,13.68,70.02,91,100,1.72,overcast clouds
542,Yangambi,CD,0.81,24.43,72.63,92,95,1.36,overcast clouds
543,Atar,MR,20.52,-13.05,95.0,28,97,6.93,overcast clouds
544,Kanigoro,ID,-8.13,112.22,74.71,90,100,1.68,light rain
545,Valer,NO,60.68,11.83,45.0,100,90,5.82,mist
546,Tiarei,PF,-17.53,-149.33,82.4,65,75,2.24,broken clouds
547,Cedar City,US,37.68,-113.06,73.4,9,1,11.41,clear sky
548,Muscat,OM,23.61,58.59,77.0,53,19,5.82,few clouds
549,Sao Joao Da Barra,BR,-21.64,-41.05,82.4,61,20,12.75,few clouds
550,Altamira,BR,-3.2,-52.21,94.86,40,89,3.71,overcast clouds
551,Uttaradit,TH,17.67,100.5,66.78,100,39,2.68,scattered clouds
552,Lavrentiya,RU,65.58,-171.0,35.74,85,0,5.12,clear sky
553,Leh,IN,34.17,77.58,37.4,53,0,3.27,clear sky
554,Bubaque,GW,11.28,-15.83,82.4,79,87,11.27,overcast clouds
555,Rio Grande,BR,-32.03,-52.1,62.01,94,100,3.0,overcast clouds
556,Niteroi,BR,-22.88,-43.1,84.2,74,40,14.99,scattered clouds
557,Kodinsk,RU,58.69,99.18,35.58,93,100,5.91,overcast clouds
558,Dongsheng,CN,39.82,109.98,33.04,72,0,11.1,clear sky
559,Mbour,SN,14.42,-16.96,87.8,74,62,10.29,broken clouds
560,Mahajanga,MG,-15.72,46.32,82.4,69,20,11.41,few clouds
561,Nicoya,CR,10.15,-85.45,86.0,74,40,6.93,scattered clouds
562,Kijang,KR,35.24,129.21,59.0,87,90,6.93,mist
563,Honiara,SB,-9.43,159.95,73.4,100,20,2.24,few clouds
564,Minador Do Negrao,BR,-9.31,-36.86,86.02,46,30,15.59,scattered clouds
565,Vila Velha,BR,-20.33,-40.29,80.01,74,75,10.29,shower rain
566,Kingston,JM,18.0,-76.79,84.2,79,20,18.34,few clouds
567,Balkanabat,TM,39.51,54.37,57.16,39,15,5.39,few clouds
568,Kidal,ML,18.44,1.41,92.14,11,0,6.89,clear sky
569,Shache,CN,38.42,77.24,45.21,45,0,4.85,clear sky
570,Erenhot,CN,43.65,111.98,31.44,74,12,8.52,few clouds
571,Kedrovyy,RU,56.17,91.82,48.2,81,98,13.42,overcast clouds
572,Bulungu,CD,-4.55,18.6,71.19,95,100,2.42,light rain
573,Saint-Joseph,RE,-21.37,55.62,75.2,69,23,19.46,few clouds
574,Samarai,PG,-10.62,150.67,78.84,85,91,9.35,light rain
575,Raudeberg,NO,61.99,5.14,44.01,89,100,20.8,light rain
576,Bonthe,SL,7.53,-12.51,78.51,87,100,6.29,moderate rain
577,Visby,SE,57.64,18.3,54.0,93,100,8.05,overcast clouds
578,Morros,BR,-9.45,-46.3,101.64,15,45,5.84,scattered clouds
579,Kyzyl-Suu,KG,42.34,78.01,45.86,42,0,6.55,clear sky
580,Gazojak,TM,41.19,61.4,51.71,50,98,10.45,overcast clouds
581,La Jagua Del Pilar,CO,10.51,-73.07,87.22,60,22,1.23,light rain
582,Cap Malheureux,MU,-19.98,57.61,75.99,71,37,8.01,light rain
583,Novouzensk,RU,50.46,48.14,37.99,71,100,7.11,overcast clouds
584,Turayf,SA,31.67,38.66,71.6,33,0,13.87,clear sky
585,Tamandare,BR,-8.76,-35.1,80.65,73,4,10.2,clear sky
586,Debre Tabor,ET,11.85,38.02,55.22,88,95,2.26,light rain
587,Rabo De Peixe,PT,37.8,-25.58,60.8,77,75,11.41,shower rain
588,Ovsyanka,RU,55.96,92.55,48.2,81,100,13.42,overcast clouds
589,Cockburn Town,TC,21.46,-71.14,78.8,83,75,11.41,broken clouds
590,Liku,ID,-0.73,119.89,75.76,86,28,2.77,scattered clouds
591,Myre,NO,69.1,15.95,33.8,64,0,13.87,clear sky
592,Sovetskaya Gavan,RU,48.97,140.29,46.78,67,100,5.28,light rain
593,Iranshahr,IR,27.2,60.68,69.8,6,0,3.04,clear sky
594,Cabo San Lucas,MX,22.89,-109.91,93.2,55,5,6.93,clear sky
595,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,92.79,47,88,3.91,light rain
596,Brisbane,AU,-27.47,153.03,64.99,93,75,4.7,broken clouds
597,Sume,BR,-7.67,-36.88,88.07,40,42,18.7,scattered clouds
598,Bilma,NE,18.69,12.92,83.71,14,0,6.33,clear sky
599,Usinsk,RU,65.99,57.53,21.45,97,67,9.62,broken clouds
600,Nuuk,GL,64.18,-51.72,33.8,80,40,4.7,shower rain
601,Bose,IT,45.46,8.01,55.0,87,100,1.25,overcast clouds
602,Scarborough,GB,54.28,-0.4,54.0,91,100,4.0,overcast clouds
603,Dondo,MZ,-19.61,34.74,77.0,88,0,9.17,clear sky
604,Lydenburg,ZA,-25.1,30.46,68.0,85,8,3.0,clear sky
605,Siddapur,IN,14.33,74.88,69.13,98,100,1.99,overcast clouds
606,Atasu,KZ,48.68,71.64,48.2,59,100,10.87,overcast clouds
607,Puerto Lempira,HN,15.27,-83.77,85.23,70,94,8.34,overcast clouds
608,Chicama,PE,-7.84,-79.15,66.2,77,20,12.75,mist
609,Vila Do Maio,CV,15.13,-23.22,81.99,78,0,13.15,clear sky
610,Kualakapuas,ID,-3.01,114.39,75.2,100,75,6.93,mist
611,Pareora,NZ,-44.49,171.21,52.0,97,48,3.51,scattered clouds
612,Simnas,LT,54.4,23.65,48.2,87,90,6.93,light rain
613,Elizabethton,US,36.35,-82.21,78.8,39,1,3.36,clear sky
614,Xinqing,CN,48.23,129.5,34.21,85,0,9.82,clear sky
615,Sola,VU,-13.88,167.55,77.0,100,75,15.01,broken clouds
616,San Ramon,US,37.78,-121.98,82.0,29,1,3.36,clear sky
617,Bereda,ES,43.27,-7.54,55.0,88,14,5.99,few clouds
618,Pedro Juan Caballero,PY,-22.55,-55.73,82.4,65,40,2.24,scattered clouds
619,Mananjary,MG,-21.22,48.33,70.36,80,77,4.29,broken clouds
620,Suamico,US,44.63,-88.04,45.0,70,20,13.87,few clouds
621,Merauke,ID,-8.47,140.33,76.82,87,66,10.85,broken clouds
622,Nexo,DK,55.06,15.13,53.6,100,100,17.22,overcast clouds
623,Callaway,US,30.15,-85.57,88.0,58,20,10.29,few clouds
624,Myitkyina,MM,25.38,97.4,71.37,96,98,1.86,overcast clouds
625,Charters Towers,AU,-20.1,146.27,66.33,95,11,7.72,few clouds
626,Praia,CV,14.92,-23.51,82.11,71,0,13.82,clear sky
627,Hamada,JP,34.88,132.08,63.0,40,100,1.01,light rain
628,Half Moon Bay,US,37.46,-122.43,75.99,77,5,5.82,clear sky
629,Ponferrada,ES,42.55,-6.6,53.01,91,35,2.93,scattered clouds
630,Ust-Maya,RU,60.42,134.53,20.17,97,100,5.5,snow
631,Aranos,NA,-24.13,19.12,82.4,14,14,10.56,few clouds
632,Kantang,TH,7.41,99.52,78.49,86,100,3.69,light rain
633,Vieste,IT,41.88,16.18,57.2,76,40,5.82,scattered clouds
634,Howard Springs,AU,-12.5,131.05,80.6,83,17,4.7,few clouds
635,Serabu,SL,7.8,-12.05,75.69,96,100,3.36,light rain
636,Riyadh,SA,24.69,46.72,73.4,23,1,3.36,clear sky
637,Paungde,MM,18.48,95.5,72.54,96,100,2.01,overcast clouds
638,Adwa,ET,14.16,38.9,64.54,54,0,8.5,clear sky
639,Praya,CV,14.92,-23.51,82.11,71,0,13.82,clear sky
640,Amarante Do Maranhao,BR,-5.57,-46.74,96.85,29,96,5.06,overcast clouds
641,Luis Correia,BR,-2.88,-41.67,84.47,65,38,18.14,scattered clouds
642,Volot,RU,57.93,30.7,38.89,95,100,6.64,overcast clouds
643,Ankang,CN,32.68,109.02,54.41,65,0,1.81,clear sky
644,Ust-Karsk,RU,52.7,118.81,24.03,85,0,2.39,clear sky
645,Lasa,IT,46.62,10.7,50.0,81,5,9.17,clear sky
646,Brawley,US,32.98,-115.53,90.0,28,1,3.36,clear sky
647,Santa Cruz De Tenerife,ES,28.47,-16.25,66.99,100,75,12.75,broken clouds
648,Sartana,UA,47.17,37.69,52.0,100,100,5.99,overcast clouds
649,Gat,IL,31.61,34.76,77.0,65,0,5.82,clear sky
650,Patu,BR,-6.11,-37.64,94.17,34,85,16.35,overcast clouds
651,Bako,ET,5.78,36.57,63.68,90,63,4.5,moderate rain
652,Mounana,GA,-1.41,13.16,82.4,69,40,3.36,scattered clouds
653,Paramonga,PE,-10.67,-77.83,69.13,68,16,10.27,few clouds
654,Tyup,KG,42.73,78.36,44.62,47,0,2.86,clear sky
655,Toamasina,MG,-18.17,49.38,71.6,94,40,2.24,scattered clouds
656,Erdenet,MN,49.03,104.08,26.67,91,0,4.0,clear sky
657,Thessalon,CA,46.25,-83.57,48.2,81,75,11.41,broken clouds
658,Dubbo,AU,-32.25,148.62,55.4,93,0,8.05,clear sky
659,Palmas Bellas,PA,9.23,-80.09,86.0,79,20,11.41,few clouds
660,Labelle,US,26.76,-81.44,82.4,65,20,9.17,few clouds
661,Malasila,PH,6.94,125.13,77.0,100,90,3.36,overcast clouds
662,Vredendal,ZA,-31.67,18.5,70.9,29,0,12.24,clear sky
663,Imbituba,BR,-28.24,-48.67,77.0,73,20,16.11,few clouds
664,Chiplun,IN,17.53,73.52,75.36,89,0,1.81,clear sky
665,Trinidad,BO,-14.83,-64.9,95.0,44,20,3.36,few clouds
666,Yenagoa,NG,4.92,6.26,77.74,91,5,5.28,clear sky
667,Oshawa,CA,43.9,-78.85,61.0,72,90,13.87,overcast clouds
668,Haicheng,CN,40.85,122.75,39.24,70,0,6.31,clear sky
669,Banjar,ID,-8.19,114.97,78.8,88,40,8.05,scattered clouds
670,Hurzuf,UA,44.55,34.28,54.09,66,2,0.92,clear sky
671,Isangel,VU,-19.55,169.27,71.6,94,75,9.17,broken clouds
672,Carballo,ES,43.21,-8.69,57.2,82,67,4.7,broken clouds
673,Los Llanos De Aridane,ES,28.66,-17.92,73.4,69,40,5.82,scattered clouds
674,Gillette,US,44.29,-105.5,39.99,80,90,3.36,overcast clouds
675,Ukiah,US,39.15,-123.21,73.4,35,1,2.82,clear sky
676,Celestun,MX,20.87,-90.4,82.72,80,8,8.59,light rain
677,Kaohsiung,TW,22.62,120.31,78.8,88,75,4.7,broken clouds
678,Maarianhamina,AX,60.1,19.93,50.0,93,90,8.05,overcast clouds
679,Tiznit,MA,29.58,-9.5,66.31,70,96,5.48,overcast clouds
680,Okhansk,RU,57.72,55.39,30.2,100,75,13.42,broken clouds
681,Gimli,CA,50.63,-96.99,34.0,98,78,5.01,broken clouds
682,Itoman,JP,26.12,127.67,78.8,88,75,4.7,shower rain
683,Byron Bay,AU,-28.65,153.62,60.01,93,69,3.22,broken clouds
684,Itaituba,BR,-4.28,-55.98,97.05,36,97,1.54,overcast clouds
685,Ninh Binh,VN,20.25,105.97,67.35,75,32,5.06,scattered clouds
686,Teknaf,BD,20.86,92.31,76.57,94,100,12.59,heavy intensity rain
687,Fukue,JP,32.69,128.84,70.99,91,100,14.03,light rain
688,Santa Cruz,BO,-17.8,-63.17,89.33,46,82,4.97,light rain
689,Miram Shah,PK,33.01,70.07,62.33,27,0,3.31,clear sky
690,Puerto Madero,MX,14.72,-92.42,89.6,66,40,6.93,scattered clouds
691,Korla,CN,41.76,86.15,47.71,45,0,2.24,clear sky
